timestamp,soil_moisture,soil_nutrients,soil_ph,sensor_id,temperature_x,humidity_x,date_x,temperature_y,humidity_y,rainfall,date_y,crop,price_per_unit,yield_per_hectare,water_usage,carbon_emission
2024-06-01,32.5,45.2,6.8,1,27.0,64,2024-06-01,28.5,65,2.1,2024-06-01,Wheat,5.2,3500,1500,200
2024-06-01,32.5,45.2,6.8,1,27.0,64,2024-06-01,28.5,65,2.1,2024-06-01,Wheat,5.2,3550,1500,200
2024-06-01,32.5,45.2,6.8,1,27.0,64,2024-06-01,28.5,65,2.1,2024-06-01,Wheat,5.2,3600,1500,200
2024-06-01,32.5,45.2,6.8,1,27.0,64,2024-06-01,28.5,65,2.1,2024-06-01,Wheat,5.2,3650,1500,200
2024-06-01,32.5,45.2,6.8,1,27.0,64,2024-06-01,28.5,65,2.1,2024-06-01,Wheat,5.2,3700,1500,200
2024-06-01,32.5,45.2,6.8,1,27.0,64,2024-06-01,28.5,65,2.1,2024-06-01,Wheat,5.2,3750,1500,200
2024-06-01,32.5,45.2,6.8,1,27.0,64,2024-06-01,28.5,65,2.1,2024-06-01,Wheat,5.2,3800,1500,200
2024-06-02,30.0,46.5,6.7,1,28.0,60,2024-06-02,30.0,60,1.8,2024-06-02,Wheat,5.3,3500,1550,210
2024-06-02,30.0,46.5,6.7,1,28.0,60,2024-06-02,30.0,60,1.8,2024-06-02,Wheat,5.3,3550,1550,210
2024-06-02,30.0,46.5,6.7,1,28.0,60,2024-06-02,30.0,60,1.8,2024-06-02,Wheat,5.3,3600,1550,210
2024-06-02,30.0,46.5,6.7,1,28.0,60,2024-06-02,30.0,60,1.8,2024-06-02,Wheat,5.3,3650,1550,210
2024-06-02,30.0,46.5,6.7,1,28.0,60,2024-06-02,30.0,60,1.8,2024-06-02,Wheat,5.3,3700,1550,210
2024-06-02,30.0,46.5,6.7,1,28.0,60,2024-06-02,30.0,60,1.8,2024-06-02,Wheat,5.3,3750,1550,210
2024-06-02,30.0,46.5,6.7,1,28.0,60,2024-06-02,30.0,60,1.8,2024-06-02,Wheat,5.3,3800,1550,210
2024-06-03,29.8,44.9,6.6,1,29.0,63,2024-06-03,29.2,62,0.0,2024-06-03,Corn,4.8,4000,1400,190
2024-06-03,29.8,44.9,6.6,1,29.0,63,2024-06-03,29.2,62,0.0,2024-06-03,Corn,4.8,4050,1400,190
2024-06-03,29.8,44.9,6.6,1,29.0,63,2024-06-03,29.2,62,0.0,2024-06-03,Corn,4.8,4100,1400,190
2024-06-03,29.8,44.9,6.6,1,29.0,63,2024-06-03,29.2,62,0.0,2024-06-03,Corn,4.8,4150,1400,190
2024-06-03,29.8,44.9,6.6,1,29.0,63,2024-06-03,29.2,62,0.0,2024-06-03,Corn,4.8,4200,1400,190
2024-06-03,29.8,44.9,6.6,1,29.0,63,2024-06-03,29.2,62,0.0,2024-06-03,Corn,4.8,4250,1400,190
2024-06-03,29.8,44.9,6.6,1,29.0,63,2024-06-03,29.2,62,0.0,2024-06-03,Corn,4.8,4300,1400,190
2024-06-04,31.0,45.3,6.7,1,30.0,62,2024-06-04,31.0,64,0.5,2024-06-04,Corn,4.9,4000,1450,205
2024-06-04,31.0,45.3,6.7,1,30.0,62,2024-06-04,31.0,64,0.5,2024-06-04,Corn,4.9,4050,1450,205
2024-06-04,31.0,45.3,6.7,1,30.0,62,2024-06-04,31.0,64,0.5,2024-06-04,Corn,4.9,4100,1450,205
2024-06-04,31.0,45.3,6.7,1,30.0,62,2024-06-04,31.0,64,0.5,2024-06-04,Corn,4.9,4150,1450,205
2024-06-04,31.0,45.3,6.7,1,30.0,62,2024-06-04,31.0,64,0.5,2024-06-04,Corn,4.9,4200,1450,205
2024-06-04,31.0,45.3,6.7,1,30.0,62,2024-06-04,31.0,64,0.5,2024-06-04,Corn,4.9,4250,1450,205
2024-06-04,31.0,45.3,6.7,1,30.0,62,2024-06-04,31.0,64,0.5,2024-06-04,Corn,4.9,4300,1450,205
